sequence,file,group,title,part,characters,words
104,dist/audiobook/chunks/104-administration-and-archive-document-inventory-part-06.txt,Administration And Archive,Document Inventory,6,1630,186
105,dist/audiobook/chunks/105-administration-and-archive-document-inventory-part-07.txt,Administration And Archive,Document Inventory,7,3867,458
106,dist/audiobook/chunks/106-administration-and-archive-document-inventory-part-08.txt,Administration And Archive,Document Inventory,8,1044,116
107,dist/audiobook/chunks/107-administration-and-archive-document-inventory-part-09.txt,Administration And Archive,Document Inventory,9,4463,444
108,dist/audiobook/chunks/108-administration-and-archive-document-inventory-part-10.txt,Administration And Archive,Document Inventory,10,3407,361
109,dist/audiobook/chunks/109-administration-and-archive-document-inventory-part-11.txt,Administration And Archive,Document Inventory,11,2514,257
110,dist/audiobook/chunks/110-administration-and-archive-document-inventory-part-12.txt,Administration And Archive,Document Inventory,12,3495,360
111,dist/audiobook/chunks/111-administration-and-archive-document-inventory-part-13.txt,Administration And Archive,Document Inventory,13,1585,166
112,dist/audiobook/chunks/112-administration-and-archive-export-process-part-01.txt,Administration And Archive,Export Process,1,4079,551
113,dist/audiobook/chunks/113-administration-and-archive-exported-files-and-release-bundles-part-01.txt,Administration And Archive,Exported Files and Release Bundles,1,2965,372
114,dist/audiobook/chunks/114-administration-and-archive-document-workflow-notes-part-01.txt,Administration And Archive,Document Workflow Notes,1,4457,554
115,dist/audiobook/chunks/115-administration-and-archive-document-workflow-notes-part-02.txt,Administration And Archive,Document Workflow Notes,2,1374,167
